Year, DOY, Month, DOM, Time, ExFlow, GM, InFlow, HV, Spare, LLD, ULD, TankP, Temp, AirT, RelHum, Press, Batt, Comments, Flag
2023, 213,8,1, 00:00, 80.01, 0.0, -13.84, -712.7,, 9975, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 00:30, 80.01, 0.0, -13.84, -712.7,, 10517, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 01:00, 80.01, 0.0, -13.84, -712.7,, 11306, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 01:30, 80.01, 0.0, -13.84, -712.7,, 11877, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 02:00, 80.01, 0.0, -13.84, -712.7,, 12699, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 02:30, 80.01, 0.0, -13.84, -712.7,, 12967, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 03:00, 80.01, 0.0, -13.84, -712.7,, 13589, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 03:30, 80.01, 0.0, -13.84, -712.7,, 14118, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 04:00, 80.01, 0.0, -13.84, -712.7,, 14226, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 04:30, 80.01, 0.0, -13.84, -712.7,, 14665, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 05:00, 80.01, 0.0, -13.84, -712.7,, 14551, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 05:30, 80.01, 0.0, -13.84, -712.7,, 15192, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 06:00, 80.01, 0.0, -13.84, -712.7,, 14940, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 06:30, 80.01, 0.0, -13.84, -712.7,, 14860, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 07:00, 80.01, 0.0, -13.84, -712.7,, 14778, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 07:30, 80.01, 0.0, -13.84, -712.7,, 14596, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 08:00, 80.01, 0.0, -13.84, -712.7,, 14330, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 08:30, 80.01, 0.0, -13.84, -712.7,, 13890, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 09:00, 80.01, 0.0, -13.84, -712.7,, 13417, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 09:30, 80.01, 0.0, -13.84, -712.7,, 13229, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 10:00, 80.01, 0.0, -13.84, -712.7,, 12341, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 10:30, 80.01, 0.0, -13.84, -712.7,, 11934, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 11:00, 80.01, 0.0, -13.84, -712.7,, 11266, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 11:30, 80.01, 0.0, -13.84, -712.7,, 10652, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 12:00, 80.01, 0.0, -13.84, -712.7,, 10006, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 12:30, 80.01, 0.0, -13.84, -712.7,, 9372, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 13:00, 80.01, 0.0, -13.84, -712.7,, 8745, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 13:30, 80.01, 0.0, -13.84, -712.7,, 7994, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 14:00, 80.01, 0.0, -13.84, -712.7,, 7533, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 14:30, 80.01, 0.0, -13.84, -712.7,, 6985, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 15:00, 80.01, 0.0, -13.84, -712.7,, 6423, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 15:30, 80.01, 0.0, -13.84, -712.7,, 6108, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 16:00, 80.01, 0.0, -13.84, -712.7,, 5754, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 16:30, 80.01, 0.0, -13.84, -712.7,, 5350, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 17:00, 80.01, 0.0, -13.84, -712.7,, 5316, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 17:30, 80.01, 0.0, -13.84, -712.7,, 4890, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 18:00, 80.01, 0.0, -13.84, -712.7,, 5040, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 18:30, 80.01, 0.0, -13.84, -712.7,, 4962, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 19:00, 80.01, 0.0, -13.84, -712.7,, 5094, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 19:30, 80.01, 0.0, -13.84, -712.7,, 5381, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 20:00, 80.01, 0.0, -13.84, -712.7,, 5649, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 20:30, 80.01, 0.0, -13.84, -712.7,, 6102, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 21:00, 80.01, 0.0, -13.84, -712.7,, 6442, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 21:30, 80.01, 0.0, -13.84, -712.7,, 7120, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 22:00, 80.01, 0.0, -13.84, -712.7,, 7555, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 22:30, 80.01, 0.0, -13.84, -712.7,, 8072, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 23:00, 80.01, 0.0, -13.84, -712.7,, 8597, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 213,8,1, 23:30, 80.01, 0.0, -13.84, -712.7,, 9320, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 00:00, 80.01, 0.0, -13.84, -712.7,, 10039, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 00:30, 80.01, 0.0, -13.84, -712.7,, 10559, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 01:00, 80.01, 0.0, -13.84, -712.7,, 11401, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 01:30, 80.01, 0.0, -13.84, -712.7,, 11934, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 02:00, 80.01, 0.0, -13.84, -712.7,, 12288, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 02:30, 80.01, 0.0, -13.84, -712.7,, 13002, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 03:00, 80.01, 0.0, -13.84, -712.7,, 13654, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 03:30, 80.01, 0.0, -13.84, -712.7,, 14010, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 04:00, 80.01, 0.0, -13.84, -712.7,, 14211, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 04:30, 80.01, 0.0, -13.84, -712.7,, 14531, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 05:00, 80.01, 0.0, -13.84, -712.7,, 14879, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 05:30, 80.01, 0.0, -13.84, -712.7,, 14892, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 06:00, 80.01, 0.0, -13.84, -712.7,, 14838, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 06:30, 80.01, 0.0, -13.84, -712.7,, 14978, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 07:00, 80.01, 0.0, -13.84, -712.7,, 14653, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 07:30, 80.01, 0.0, -13.84, -712.7,, 14463, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 08:00, 80.01, 0.0, -13.84, -712.7,, 14196, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 08:30, 80.01, 0.0, -13.84, -712.7,, 13765, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 09:00, 80.01, 0.0, -13.84, -712.7,, 13565, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 214,8,2, 09:30, 80.01, 0.0, -13.84, -712.7,, 13147, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
