Year, DOY, Month, DOM, Time, ExFlow, GM, InFlow, HV, Spare, LLD, ULD, TankP, Temp, AirT, RelHum, Press, Batt, Comments, Flag
2023, 197,7,16, 23:30, 80.01, 0.0, -13.84, -712.7,, 9066, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 00:00, 80.01, 0.0, -13.84, -712.7,, 10021, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 00:30, 80.01, 0.0, -13.84, -712.7,, 10572, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 01:00, 80.01, 0.0, -13.84, -712.7,, 11374, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 01:30, 80.01, 0.0, -13.84, -712.7,, 11989, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 02:00, 80.01, 0.0, -13.84, -712.7,, 12470, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 02:30, 80.01, 0.0, -13.84, -712.7,, 12916, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 03:00, 80.01, 0.0, -13.84, -712.7,, 13364, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 03:30, 80.01, 0.0, -13.84, -712.7,, 13893, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 04:00, 80.01, 0.0, -13.84, -712.7,, 14072, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 04:30, 80.01, 0.0, -13.84, -712.7,, 14594, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 05:00, 80.01, 0.0, -13.84, -712.7,, 14897, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 05:30, 80.01, 0.0, -13.84, -712.7,, 14938, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 06:00, 80.01, 0.0, -13.84, -712.7,, 14992, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 06:30, 80.01, 0.0, -13.84, -712.7,, 15201, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 07:00, 80.01, 0.0, -13.84, -712.7,, 14849, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 07:30, 80.01, 0.0, -13.84, -712.7,, 14622, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 08:00, 80.01, 0.0, -13.84, -712.7,, 14184, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 08:30, 80.01, 0.0, -13.84, -712.7,, 14042, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 09:00, 80.01, 0.0, -13.84, -712.7,, 13678, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 09:30, 80.01, 0.0, -13.84, -712.7,, 13209, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 10:00, 80.01, 0.0, -13.84, -712.7,, 12488, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 10:30, 80.01, 0.0, -13.84, -712.7,, 11701, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 11:00, 80.01, 0.0, -13.84, -712.7,, 11316, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 11:30, 80.01, 0.0, -13.84, -712.7,, 10706, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 12:00, 80.01, 0.0, -13.84, -712.7,, 10138, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 12:30, 80.01, 0.0, -13.84, -712.7,, 9322, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 13:00, 80.01, 0.0, -13.84, -712.7,, 8494, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 13:30, 80.01, 0.0, -13.84, -712.7,, 7988, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 14:00, 80.01, 0.0, -13.84, -712.7,, 7394, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 14:30, 80.01, 0.0, -13.84, -712.7,, 6956, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 198,7,17, 15:00, 80.01, 0.0, -13.84, -712.7,, 6341, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
